#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:SimTree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:SimTree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:SimTree" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:SimTree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:SimTree" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.SimTree" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:SimTree" name="distribution">
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#            <parameter id="gammaShape.s:SimTree" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </prior>
#        <prior id="PopSizePrior.t:SimTree" name="distribution" x="@popSize.t:SimTree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.core.parameter.RealParameter">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SimTree" id="treeLikelihood.SimTree" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SimTree">
#            <branchRateModel id="StrictClock.c:SimTree" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SimTree" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SimTree" shape="@gammaShape.s:SimTree" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SimTree" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SimTree" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:SimTree" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	popSize	CoalescentConstant
0	-42617.715995339066	-42576.11550298875	-41.60049235031061	-42576.11550298875	1.8817990318879299	0.9501034727547175	0.3	-40.84996059298659
1000	-19804.354261255303	-19741.043146626103	-63.31111462919918	-19741.043146626103	5.2612569967194025	0.9501034727547175	4.040706830685027	-51.22510762737508
2000	-18793.55623551639	-18730.023123835374	-63.533111681013935	-18730.023123835374	6.00811676802655	1.7542973594875397	2.385758997952507	-55.6579042249798
3000	-18769.65010731384	-18711.825702542043	-57.82440477179513	-18711.825702542043	4.573381159984225	1.7542973594875397	3.8279225803407297	-45.579004641857296
4000	-18763.473188708922	-18709.90991385235	-53.56327485657404	-18709.90991385235	4.206004883892097	1.7542973594875397	2.978181110642614	-43.89284887723656
5000	-18692.94998357396	-18640.863227414346	-52.08675615961456	-18640.863227414346	4.803360427864845	4.813445470328748	2.750785491640067	-40.046259702776915
6000	-18687.01589833944	-18634.454070683296	-52.56182765614256	-18634.454070683296	4.88228087354798	7.558880638421993	2.0814172425301787	-39.804284664878004
7000	-18690.734898795352	-18635.167185438804	-55.56771335654909	-18635.167185438804	5.982245660291469	10.297129452736463	2.4316804163760297	-39.01051799386142
8000	-18680.355474105414	-18623.46638482109	-56.88908928432328	-18623.46638482109	8.735628660254315	10.297129452736463	1.7275240957670803	-42.465700953783944
9000	-18682.520902614317	-18628.375203434054	-54.145699180260884	-18628.375203434054	3.3665434600348636	9.848503194055972	2.6556662134347264	-37.3583852366819
10000	-18672.6499193959	-18619.907771474656	-52.74214792124238	-18619.907771474656	2.171161318331004	9.848503194055972	2.3014622470550297	-37.02817933032914
11000	-18676.33444112073	-18624.540505263976	-51.79393585675286	-18624.540505263976	1.8396252424791768	9.848503194055972	1.753641183081178	-37.74003109606341
12000	-18678.89675009212	-18624.967746807466	-53.92900328465599	-18624.967746807466	2.2373304716222466	9.848503194055972	1.6648541778571757	-40.14415005494837
13000	-18676.631120799128	-18624.69856801634	-51.93255278278479	-18624.69856801634	1.8891877799107828	9.69981075055848	1.7172976508745559	-38.13747238137048
14000	-18678.871515259056	-18623.274113149662	-55.59740210939186	-18623.274113149662	8.079446613657309	10.36134368547614	2.4290649457774873	-38.98391818244494
15000	-18675.630854700266	-18622.154982244137	-53.47587245613057	-18622.154982244137	1.8110805108430312	10.36134368547614	2.0497171647191097	-38.01192725966358
16000	-18683.35241247797	-18625.483206216017	-57.86920626195236	-18625.483206216017	5.9964512511670325	10.36134368547614	3.308831556472245	-38.5897629086577
17000	-18675.631605105467	-18623.255229597053	-52.376375508415265	-18623.255229597053	2.916019212266791	9.274947723959608	1.7846143799882654	-38.80216804537647
