#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:apes" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:apes" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:apes" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:apes" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:apes" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.apes" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:apes" name="distribution">
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#            <parameter id="gammaShape.s:apes" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </prior>
#        <prior id="PopSizePrior.t:apes" name="distribution" x="@popSize.t:apes">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.core.parameter.RealParameter">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@apes" id="treeLikelihood.apes" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:apes">
#            <branchRateModel id="StrictClock.c:apes" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:apes" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:apes" shape="@gammaShape.s:apes" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:apes" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:apes" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:apes" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	gammaShape	popSize	CoalescentConstant
0	-2032.6077588609512	-2027.2189494072727	-5.388809453678507	-2027.2189494072727	0.965843084666351	1.0	1.0	0.3	-4.588381169109209
200	-1363.5524431630975	-1365.0368012021938	1.4843580390963023	-1365.0368012021938	0.14266206054154443	1.0	0.17274084773878795	0.3470063592200092	1.5999706841922947
400	-1311.0810644191808	-1313.517736561878	2.4366721426971933	-1313.517736561878	0.03136283967960201	1.0	0.12202818178195905	0.2854749279196415	2.31511323910797
600	-1309.8549568213887	-1312.7150002937315	2.8600434723427157	-1312.7150002937315	0.02893966597642982	1.0	0.24177883764753053	0.23502987607369835	2.7053714311465087
800	-1308.9381695652041	-1312.4095969773691	3.4714274121650366	-1312.4095969773691	0.027790937921433664	1.0	0.3969985151949729	0.17079754546434942	3.277331622427336
1000	-1311.2634107305958	-1312.6700250270123	1.4066142964166426	-1312.6700250270123	0.031026799827682076	1.0	1.1870915757960037	0.2825634057046258	2.341295992250507
1200	-1310.7296364611686	-1312.4542358275971	1.7245993664285644	-1312.4542358275971	0.02286888700843773	1.0	1.4006671092822158	0.23583237403676074	2.731247408876323
1400	-1309.558465865561	-1312.394208964382	2.8357430988209065	-1312.394208964382	0.026213177100164905	1.0	0.5703070188797537	0.2094242332346603	2.932006381768929
1600	-1308.626509094486	-1312.7017179589193	4.0752088644332956	-1312.7017179589193	0.02457659285216247	1.0	1.4107894154892238	0.0729039799591011	4.598256806792124
1800	-1308.9079800590853	-1313.4177745703917	4.509794511306378	-1313.4177745703917	0.02392509443961764	1.0	0.3780926105948911	0.10344777598340042	4.092702606420265
2000	-1307.0905504887355	-1313.044106287672	5.953555798936613	-1313.044106287672	0.03176913662231591	1.0	0.2753990634533781	0.03172500828747474	5.216428626618303
2200	-1306.8376023292487	-1312.7681269096422	5.930524580393376	-1312.7681269096422	0.025822865895937137	1.0	0.22252491440260821	0.04653412638195782	5.185399374462124
2400	-1309.1012931040655	-1314.761659660992	5.660366556926733	-1314.761659660992	0.03380919808639656	1.0	0.2293657513210364	0.025950279450559697	4.859706894182399
2600	-1307.8736169432623	-1312.9377483002747	5.0641313570123865	-1312.9377483002747	0.028607596797415764	1.0	0.8096527711315695	0.0596658536208163	4.945927120655122
2800	-1307.0937560655768	-1313.2193185546907	6.125562489113918	-1313.2193185546907	0.021570703793428802	1.0	0.555446783240168	0.03191003181318514	5.669043713933036
3000	-1307.2507457185209	-1313.703406768163	6.452661049642108	-1313.703406768163	0.025736138223012357	1.0	0.35992143704774615	0.03017811243622578	5.795368687732564
