#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:apes" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:apes" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:apes" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:apes" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:apes" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.apes" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:apes" name="distribution">
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#            <parameter id="gammaShape.s:apes" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </prior>
#        <prior id="PopSizePrior.t:apes" name="distribution" x="@popSize.t:apes">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@apes" id="treeLikelihood.apes" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:apes">
#            <branchRateModel id="StrictClock.c:apes" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:apes" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:apes" shape="@gammaShape.s:apes" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:apes" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:apes" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:apes" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	gammaShape	popSize	CoalescentConstant
0	-2031.603357772056	-2027.2189494072727	-4.3844083647832734	-2027.2189494072727	0.965843084666351	1.0	1.0	0.3	-4.588381169109209
200	-1495.6979473679837	-1497.405877873102	1.7079305051184217	-1497.405877873102	0.26914693203468354	1.0	1.0	0.2809744912910183	1.4384391130256509
400	-1310.6281318943188	-1312.0608238794957	1.4326919851768594	-1312.0608238794957	0.027290169189910857	1.0	1.0	0.42932384938394696	1.587148234002702
600	-1312.145069992736	-1313.2876502182696	1.1425802255337456	-1313.2876502182696	0.031959545688889576	1.0	1.0	0.47397353676619436	1.3959764370809697
800	-1313.5820701602445	-1313.7884661933836	0.20639603313907245	-1313.7884661933836	0.031338756417277985	1.0	1.0	0.6489270879858784	0.7739611193816962
1000	-1312.1332451798057	-1312.6963281440621	0.5630829642564875	-1312.6963281440621	0.02277410108003262	1.0	1.0	0.5799170178533779	1.0182127059123554
1200	-1312.1730763451642	-1312.7002460353842	0.5271696902201021	-1312.7002460353842	0.02554802590677891	1.0	1.0	0.5848352877122488	0.9907446593582718
1400	-1312.5737280922747	-1313.68498796852	1.1112598762453416	-1313.68498796852	0.022570318337546132	1.0	1.0	0.48365459585288884	1.3848756042820285
1600	-1312.7289416600524	-1312.1687725939532	-0.5601690660992503	-1312.1687725939532	0.025143968200976287	1.0	1.0	0.8489738834368439	0.2761040791983257
1800	-1313.347004450377	-1312.4376753158642	-0.909329134512709	-1312.4376753158642	0.023090381043435824	1.0	1.0	0.9573465968546008	0.04708108256231863
2000	-1313.2325572688326	-1312.362761253325	-0.8697960155075607	-1312.362761253325	0.02340819240201278	1.0	1.0	0.9440457923230806	0.07262337929611101
2200	-1312.9690286342486	-1313.7511705841173	0.7821419498685915	-1313.7511705841173	0.019827240709087188	1.0	1.0	0.5397466605195164	1.165486553174721
2400	-1311.7160159800435	-1312.3354291481182	0.6194131680747058	-1312.3354291481182	0.02983711366925419	1.0	1.0	0.566889925851405	1.051823039672945
2600	-1311.8556162584014	-1312.4392033300692	0.5835870716678785	-1312.4392033300692	0.023015734879392534	1.0	1.0	0.5767223693167062	1.0331927810353578
2800	-1311.7475223599024	-1312.0749045568377	0.3273821969353947	-1312.0749045568377	0.027416872504192315	1.0	1.0	0.6270326264821031	0.860625493088984
3000	-1311.556808377207	-1312.390353043471	0.833544666263805	-1312.390353043471	0.02388027973742882	1.0	1.0	0.5283572695409213	1.1955620890234653
3200	-1311.902942507607	-1313.2466579407283	1.343715433121378	-1313.2466579407283	0.033668391312333144	1.0	1.0	0.4392795353563393	1.5210961193701331
3400	-1309.8411359299525	-1312.7841253740285	2.942989444075809	-1312.7841253740285	0.022056340516995215	1.0	1.0	0.2563603821966946	2.581818362587904
3600	-1309.0162729461504	-1313.0864019474247	4.070129001274379	-1313.0864019474247	0.026555896801155086	1.0	1.0	0.16649198101981055	3.277320868509733
3800	-1309.3596460371764	-1312.8423871905197	3.4827411533432717	-1312.8423871905197	0.023229588004103092	1.0	1.0	0.2093373930576161	2.9189331455605085
4000	-1307.9621963835682	-1312.758255299314	4.796058915745727	-1312.758255299314	0.029161740390434863	1.0	1.0	0.12981417134177692	3.754407613362022
4200	-1308.597987761206	-1312.2932494897495	3.695261728543503	-1312.2932494897495	0.02901726474194636	1.0	1.0	0.19343031208155384	3.0524237528823006
4400	-1310.4940155571621	-1313.9565065126228	3.462490955460691	-1313.9565065126228	0.03578719512292444	1.0	1.0	0.20595702481022796	2.882403206078415
4600	-1307.8097145720064	-1312.0611059477333	4.251391375726851	-1312.0611059477333	0.026503624457000604	1.0	1.0	0.1581004146252277	3.4068664635071615
4800	-1309.4339965686247	-1314.1524602553168	4.718463686692087	-1314.1524602553168	0.031039126180159585	1.0	1.0	0.13387603518704777	3.7076226689375864
5000	-1307.1753671970882	-1312.3147416878633	5.139374490775028	-1312.3147416878633	0.029464167215038566	1.0	1.0	0.11271176031031632	3.956452977974037
5200	-1308.630501505132	-1313.6019164527856	4.97141494765363	-1313.6019164527856	0.020529034830223617	1.0	1.0	0.12295551721086857	3.875482309941126
5400	-1305.8464649820123	-1312.9607517359211	7.114286753908911	-1312.9607517359211	0.025797194005488452	1.0	1.0	0.05282016649085455	5.173424533832719
5600	-1305.7524495553514	-1312.339597906012	6.587148350660598	-1312.339597906012	0.028866528716379767	1.0	1.0	0.06307620524377792	4.823736674128898
5800	-1306.76079999793	-1313.1224575769866	6.361657579056667	-1313.1224575769866	0.02426450659852615	1.0	1.0	0.06820736748123538	4.676454886673484
6000	-1306.0042825383443	-1312.0790585542047	6.07477601586037	-1312.0790585542047	0.026658986281756114	1.0	1.0	0.07795258726794597	4.523121523209593
6200	-1308.0963375654014	-1313.0727843203417	4.976446754940376	-1313.0727843203417	0.02334353858408213	1.0	1.0	0.12040969790993862	3.8595915530139293
6400	-1307.8112076225973	-1313.0697475866411	5.258539964043797	-1313.0697475866411	0.0326481905236173	1.0	1.3300631596149508	0.09334081941383966	4.2171053639666845
6600	-1307.2618287673251	-1312.3886769632445	5.126848195919379	-1312.3886769632445	0.022891116229492216	1.0	1.3300631596149508	0.10247873202279612	4.178811361140591
6800	-1307.8789372404297	-1312.9652024018521	5.0862651614224355	-1312.9652024018521	0.030472487055508354	1.0	1.3300631596149508	0.10194961752829922	4.133051787507118
7000	-1308.382910481763	-1312.272727404251	3.889816922487981	-1312.272727404251	0.02547225033148268	1.0	1.3300631596149508	0.16185806376801934	3.398844604729671
7200	-1312.5432501208936	-1317.0201431468402	4.476893025946522	-1317.0201431468402	0.02748792003527014	1.0	1.3300631596149508	0.12107795266804908	3.6956354816705788
7400	-1307.0677802241419	-1312.1089095985617	5.041129374419807	-1312.1089095985617	0.026436057090784903	1.0	1.3300631596149508	0.10300445146465889	4.098209460451865
7600	-1308.382548074749	-1313.4608519051612	5.078303830412424	-1313.4608519051612	0.030735481544763535	1.0	1.3300631596149508	0.10269476544753807	4.132372857328656
7800	-1307.1312753786356	-1312.4171918015163	5.285916422880835	-1312.4171918015163	0.026082365960263282	1.0	1.3300631596149508	0.09616693211470616	4.274309861081455
8000	-1308.605717362893	-1313.2473142433332	4.641596880440146	-1313.2473142433332	0.029845660292164268	1.0	1.3300631596149508	0.12172292593325865	3.86565212404202
8200	-1308.6188853515575	-1312.5643984036328	3.9455130520751753	-1312.5643984036328	0.022850930398726457	1.0	1.3300631596149508	0.15966218233495105	3.440881155471529
8400	-1310.49281351048	-1314.4058573829864	3.9130438725065595	-1314.4058573829864	0.03638362183927345	1.0	1.3300631596149508	0.15264354632393304	3.36345719382374
8600	-1308.3276250143751	-1312.8352144379296	4.507589423554473	-1312.8352144379296	0.02786561883408858	1.0	1.3300631596149508	0.12415745983612324	3.7514479016188
8800	-1308.9238007531803	-1312.4902640487835	3.566463295603186	-1312.4902640487835	0.022537483075850052	1.0	1.3300631596149508	0.18249706446658726	3.1955052640145887
9000	-1308.0226917555174	-1313.2577888386622	5.235097083144895	-1313.2577888386622	0.023982311824474755	1.0	1.3300631596149508	0.09484665689451593	4.209666413301574
9200	-1307.5283987202647	-1312.0937047954567	4.565306075192012	-1312.0937047954567	0.02503407288089971	1.0	1.3300631596149508	0.1258944959237002	3.823058178077538
9400	-1309.0471376713442	-1312.593454272558	3.54631660121375	-1312.593454272558	0.02304042252027621	1.0	1.2291984399640854	0.19102210599734742	3.120148921751186
