#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:tree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:tree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter estimate="false" id="popSize.t:tree" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:tree">
#                    <taxonset id="TaxonSet.noncoding" spec="beast.evolution.alignment.TaxonSet">
#                        <alignment filter="1,458-659,897-898" id="noncoding" spec="beast.evolution.alignment.FilteredAlignment">
#                        </alignment>
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:noncoding" name="distribution">
#            <parameter id="gammaShape.s:noncoding" name="x">1.0</parameter>
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@noncoding" id="treeLikelihood.noncoding" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:noncoding" shape="@gammaShape.s:noncoding" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:noncoding" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:noncoding" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:noncoding" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.1stpos" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="2-457\3,660-896\3" id="1stpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#            <siteModel id="SiteModel.s:1stpos" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:1stpos" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:1stpos" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:1stpos" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:1stpos" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.2ndpos" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="3-457\3,661-896\3" id="2ndpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#            <siteModel id="SiteModel.s:2ndpos" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2ndpos" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:2ndpos" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2ndpos" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:2ndpos" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#        <distribution branchRateModel="@StrictClock.c:clock" id="treeLikelihood.3rdpos" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <data data="@primate-mtDNA" filter="4-457\3,662-.\3" id="3rdpos" spec="beast.evolution.alignment.FilteredAlignment"/>
#            <siteModel id="SiteModel.s:3rdpos" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:3rdpos" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:3rdpos" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:3rdpos" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:3rdpos" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.1stpos	treeLikelihood.2ndpos	treeLikelihood.3rdpos	treeLikelihood.noncoding	TreeHeight	gammaShape	CoalescentConstant
0	-8325.56782705886	-8308.16104294523	-17.406784113630163	-2086.0333508908443	-1633.8343722670572	-3240.652672992757	-1347.6406467945724	0.7873439529022015	1.0	-16.406784113630163
200	-6590.333415056604	-6582.188802921517	-8.144612135087268	-1579.3286779629204	-1202.730518727528	-2715.8263562348907	-1084.3032499961773	0.2492201744750357	1.0	-7.144612135087268
400	-6396.826063082304	-6390.57319464426	-6.252868438044203	-1507.6697006777258	-1151.6901900274938	-2670.250797615646	-1060.9625063233946	0.24216745628186362	1.0	-5.252868438044203
600	-6394.797990457503	-6389.058610978474	-5.7393794790291635	-1509.2752618169895	-1150.500536207199	-2665.674467916054	-1063.6083450382312	0.2521304178478984	1.0	-4.7393794790291635
800	-6393.543423278404	-6388.025329344722	-5.518093933681096	-1508.862368593089	-1146.8462515346419	-2668.974117760416	-1063.3425914565753	0.2472329809453039	1.0	-4.518093933681096
1000	-6388.579743736404	-6382.977841938933	-5.601901797471411	-1506.9846526722347	-1145.1590774044048	-2669.077765648558	-1061.7563462137352	0.240496524962395	1.0	-4.601901797471411
1200	-6393.833937995037	-6388.9085068982795	-4.925431096757335	-1506.1467142908216	-1145.7769660330418	-2672.1563276347533	-1064.8284989396627	0.26096194458954447	1.0	-3.925431096757335
1400	-6389.106163257272	-6383.796657408261	-5.3095058490106535	-1507.152170305686	-1145.4189985341177	-2668.901427252918	-1062.3240613155397	0.2520975284638596	1.0	-4.3095058490106535
1600	-6389.122265446737	-6384.328758715577	-4.793506731160255	-1503.8014981356985	-1142.097132873242	-2677.7116951478815	-1060.718432558755	0.250404407973712	1.0	-3.793506731160255
1800	-6396.052527111425	-6391.212679008697	-4.83984810272797	-1505.6416110559715	-1142.3637760502102	-2681.9088184729167	-1061.2984734295985	0.24262903981164227	1.0	-3.83984810272797
2000	-6389.941615071417	-6384.614704760917	-5.326910310499567	-1506.7999518035028	-1144.7469117256755	-2671.277966105491	-1061.7898751262476	0.24262903981164227	1.0	-4.326910310499567
2200	-6393.019206302216	-6388.867297134259	-4.151909167956482	-1503.5650780296855	-1135.2000731257128	-2690.348270177822	-1059.7538758010385	0.23923117631930718	1.0	-3.1519091679564823
2400	-6393.4864049089065	-6389.336886333287	-4.14951857561961	-1500.222011746611	-1134.2792610537967	-2695.5383455165756	-1059.297268016304	0.23145131023550797	1.0	-3.1495185756196102
2600	-6396.921272293824	-6390.988132238665	-5.933140055159041	-1506.281713729838	-1151.7507325518773	-2669.192393993824	-1063.763291963125	0.246194237619542	1.0	-4.933140055159041
2800	-6392.710535567353	-6386.994618800538	-5.715916766815464	-1506.1436170907834	-1144.914714711182	-2673.56133855615	-1062.3749484424222	0.2271918262052417	1.0	-4.715916766815464
3000	-6393.030398261522	-6387.199386491431	-5.831011770091479	-1508.7971479706518	-1147.469288228713	-2668.232257921679	-1062.7006923703875	0.23325478292208396	1.0	-4.831011770091479
3200	-6384.597162956815	-6380.407400195763	-4.1897627610513615	-1504.724992277303	-1137.9315373571812	-2685.9511110411045	-1051.7997595201746	0.23325478292208396	0.6493297053637008	-3.540433055687661
3400	-6384.078969169499	-6378.791072159062	-5.287897010436876	-1510.3104807210027	-1144.6342553564537	-2669.152598729337	-1054.6937373522692	0.23325478292208396	0.6493297053637008	-4.638567305073176
3600	-6384.616705792488	-6379.966691237072	-4.650014555415958	-1504.8546598262203	-1140.6760769686723	-2682.1055314905284	-1052.3304229516516	0.23325478292208396	0.6493297053637008	-4.000684850052258
3800	-6381.729323721627	-6376.339110273675	-5.3902134479522195	-1509.7610746631794	-1149.3337642664405	-2663.848282132139	-1053.395989211916	0.2547040768426152	0.6493297053637008	-4.740883742588519
4000	-6383.172622275475	-6378.040808845417	-5.131813430057857	-1508.5511846334173	-1143.731180204355	-2673.1476268783917	-1052.610817129253	0.23854152662308267	0.6493297053637008	-4.4824837246941565
4200	-6383.446533654338	-6378.064527393779	-5.382006260559048	-1506.9042044179284	-1147.5371880064629	-2670.412872491969	-1053.210262477418	0.23854152662308267	0.6493297053637008	-4.732676555195347
4400	-6384.903505063105	-6379.272055677175	-5.631449385929594	-1510.8081977801098	-1153.8920803656638	-2659.6300410264835	-1054.941736504917	0.25762002438603676	0.6493297053637008	-4.982119680565893
4600	-6385.916233868757	-6380.581281591978	-5.334952276779172	-1505.7103413136	-1151.9136697911372	-2669.946401810897	-1053.0108686763442	0.25762002438603676	0.6493297053637008	-4.685622571415472
4800	-6383.746975706632	-6378.504116373639	-5.242859332993514	-1507.38463080427	-1150.3144615129063	-2668.8905944359476	-1051.9144296205152	0.2559300409994116	0.6493297053637008	-4.593529627629813
