#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:SimTree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:SimTree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:SimTree" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:SimTree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:SimTree">
#                    <taxonset id="TaxonSet.SimTree" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:SimTree" name="distribution">
#            <parameter id="gammaShape.s:SimTree" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PopSizePrior.t:SimTree" name="distribution" x="@popSize.t:SimTree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SimTree" id="treeLikelihood.SimTree" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SimTree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SimTree" shape="@gammaShape.s:SimTree" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SimTree" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SimTree" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:SimTree" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:SimTree" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SimTree" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	popSize	CoalescentConstant
0	-36705.98974134272	-36675.94192390767	-30.047817435048163	-36675.94192390767	1.5248370545905208	1.0	0.3	-29.247389150478867
1	-40042.5051987975	-40010.751070602666	-31.75412819483898	-40010.751070602666	1.2441663877686868	1.0	0.3	-30.953699910269684
2	-34174.69787327462	-34065.211511650676	-109.48636162394622	-34065.211511650676	8.42155799556923	1.0	0.3	-108.68593333937693
3	-37328.62869443773	-37294.09267322884	-34.536021208881905	-37294.09267322884	1.4107277490427994	1.0	0.3	-33.735592924312606
4	-44328.79337628497	-44294.63701688933	-34.15635939563521	-44294.63701688933	1.5571246749201648	1.0	0.3	-33.35593111106591
5	-40384.07330425552	-40372.48492505865	-11.588379196870774	-40372.48492505865	1.8526006543980542	1.0	0.3	-10.787950912301476
6	-37443.122732492	-37417.91620728983	-25.206525202167096	-37417.91620728983	1.8977256856223306	1.0	0.3	-24.4060969175978
7	-41932.519186553254	-41897.91835442641	-34.60083212684823	-41897.91835442641	2.568017447585914	1.0	0.3	-33.80040384227893
8	-35547.61183981999	-35502.991306284646	-44.620533535341224	-35502.991306284646	0.9012371712004708	1.0	0.3	-43.820105250771924
9	-41887.86481960977	-41866.75169840959	-21.113121200176895	-41866.75169840959	2.2641206901805697	1.0	0.3	-20.3126929156076
10	-34672.17264759341	-34614.465140083434	-57.70750750997675	-34614.465140083434	2.449574604493776	1.0	0.3	-56.90707922540745
11	-37117.39874242191	-37074.74914394346	-42.64959847844929	-37074.74914394346	2.7474822673542203	1.0	0.3	-41.84917019387999
12	-37457.9628406186	-37417.955267248515	-40.00757337008654	-37417.955267248515	1.2989319538479362	1.0	0.3	-39.20714508551724
13	-35857.65303978611	-35808.550020772986	-49.10301901312901	-35808.550020772986	1.8725081561499042	1.0	0.3	-48.30259072855971
14	-36962.112919085994	-36932.011945905935	-30.100973180058272	-36932.011945905935	0.949659660205544	1.0	0.3	-29.300544895488976
15	-36694.63214457306	-36647.81599711038	-46.81614746267488	-36647.81599711038	1.526050848938742	1.0	0.3	-46.01571917810558
16	-35071.21746135422	-35013.80994664445	-57.40751470977635	-35013.80994664445	2.6254076468962024	1.0	0.3	-56.60708642520705
17	-34875.78369176016	-34830.2642480788	-45.51944368136407	-34830.2642480788	2.0627438754513285	1.0	0.3	-44.719015396794774
18	-37380.59616868543	-37356.40425385168	-24.191914833746775	-37356.40425385168	0.6537623301531152	1.0	0.3	-23.39148654917748
19	-39639.72228537897	-39608.336406601156	-31.38587877781289	-39608.336406601156	1.077851545045586	1.0	0.3	-30.585450493243595
20	-38669.96415899661	-38634.7738626653	-35.190296331312396	-38634.7738626653	2.531929343374839	1.0	0.3	-34.389868046743096
