#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:SimTree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:SimTree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:SimTree" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:SimTree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:SimTree">
#                    <taxonset id="TaxonSet.SimTree" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:SimTree" name="distribution">
#            <parameter id="gammaShape.s:SimTree" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PopSizePrior.t:SimTree" name="distribution" x="@popSize.t:SimTree">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SimTree" id="treeLikelihood.SimTree" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SimTree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SimTree" shape="@gammaShape.s:SimTree" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SimTree" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SimTree" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:SimTree" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:SimTree" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SimTree" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	popSize	CoalescentConstant
0	-41819.54249273356	-41773.82952216218	-45.7129705713818	-41773.82952216218	1.2226723227656426	1.0	0.3	-44.9125422868125
1	-36726.02820771523	-36695.815538361276	-30.212669353952297	-36695.815538361276	1.8649837485795182	1.0	0.3	-29.412241069383
2	-35642.963339994545	-35620.76833308265	-22.195006911896233	-35620.76833308265	0.8846583316733064	1.0	0.3	-21.394578627326936
3	-40704.355942460366	-40669.86833990447	-34.48760255590176	-40669.86833990447	2.412092165793958	1.0	0.3	-33.68717427133246
4	-34970.52325291983	-34935.52887935315	-34.99437356668119	-34935.52887935315	2.652338146678082	1.0	0.3	-34.19394528211189
5	-34892.37104584645	-34839.66860861078	-52.702437235665315	-34839.66860861078	1.6116509301904571	1.0	0.3	-51.902008951096015
6	-39514.647735611325	-39474.4959388549	-40.151796756423764	-39474.4959388549	1.145254118788034	1.0	0.3	-39.351368471854464
7	-34163.17131544072	-34090.24976072338	-72.92155471733504	-34090.24976072338	1.4717739934201455	1.0	0.3	-72.12112643276575
8	-38601.489110234754	-38573.491782033874	-27.997328200883057	-38573.491782033874	3.336531500357769	1.0	0.3	-27.19689991631376
9	-38777.26102532173	-38748.13636772008	-29.124657601651673	-38748.13636772008	1.3085933731281536	1.0	0.3	-28.324229317082377
10	-40246.79965243602	-40206.05374694178	-40.74590549423719	-40206.05374694178	1.5482743135538068	1.0	0.3	-39.94547720966789
11	-39403.78435725572	-39379.85931952107	-23.92503773464818	-39379.85931952107	1.2527066366270314	1.0	0.3	-23.124609450078882
12	-31869.61180976872	-31795.38236867162	-74.22944109710176	-31795.38236867162	2.779466695263984	1.0	0.3	-73.42901281253246
13	-37203.963614415086	-37163.79110863482	-40.1725057802706	-37163.79110863482	0.9093533400100408	1.0	0.3	-39.3720774957013
14	-34695.216242088005	-34623.88380880969	-71.33243327831775	-34623.88380880969	1.219158199957929	1.0	0.3	-70.53200499374846
15	-37881.47680313777	-37860.88590725429	-20.590895883474207	-37860.88590725429	0.920266208368081	1.0	0.3	-19.79046759890491
16	-37633.98264673371	-37585.98310189146	-47.99954484224978	-37585.98310189146	1.4575112997542856	1.0	0.3	-47.19911655768048
17	-38460.65407886539	-38443.5753678157	-17.078711049688593	-38443.5753678157	1.4427439978619163	1.0	0.3	-16.278282765119297
