#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:SimTree_3Taxa" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:SimTree_3Taxa" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:SimTree_3Taxa" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:SimTree_3Taxa" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:SimTree_3Taxa">
#                    <taxonset id="TaxonSet.SimTree_3Taxa" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:SimTree_3Taxa" name="distribution">
#            <parameter id="gammaShape.s:SimTree_3Taxa" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PopSizePrior.t:SimTree_3Taxa" name="distribution" x="@popSize.t:SimTree_3Taxa">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@SimTree_3Taxa" id="treeLikelihood.SimTree_3Taxa" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:SimTree_3Taxa">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SimTree_3Taxa" shape="@gammaShape.s:SimTree_3Taxa" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:SimTree_3Taxa" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SimTree_3Taxa" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:SimTree_3Taxa" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:SimTree_3Taxa" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:SimTree_3Taxa" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	popSize	CoalescentConstant
0	-4024.9185916910983	-4015.929240714288	-8.989350976810547	-4015.929240714288	2.3871427178443243	1.0	0.3	-8.188922692241249
1	-4023.529580168668	-4017.069980517353	-6.4595996513148055	-4017.069980517353	1.5084992818628384	1.0	0.3	-5.6591713667455075
2	-4065.950255771865	-4055.664970275175	-10.285285496690067	-4055.664970275175	1.2554827350123234	1.0	0.3	-9.484857212120769
3	-4322.231722170979	-4313.348344113435	-8.883378057544409	-4313.348344113435	2.5216779398650595	1.0	0.3	-8.08294977297511
4	-4129.756506375006	-4115.368416724472	-14.388089650533983	-4115.368416724472	2.8053685001404913	1.0	0.3	-13.587661365964685
5	-4363.337028709049	-4356.675926747963	-6.661101961086441	-4356.675926747963	1.9506109541330816	1.0	0.3	-5.860673676517143
6	-4374.491335229076	-4373.484314474121	-1.007020754955042	-4373.484314474121	0.30688200715713165	1.0	0.3	-0.20659247038574424
7	-4139.709847878933	-4117.677319308013	-22.032528570920643	-4117.677319308013	4.304390692627938	1.0	0.3	-21.232100286351347
8	-4012.4381180354026	-4003.655816633954	-8.782301401448594	-4003.655816633954	2.085362821446478	1.0	0.3	-7.981873116879296
9	-4063.225122367286	-4050.8177847135175	-12.407337653768517	-4050.8177847135175	3.625714793442718	1.0	0.3	-11.606909369199219
10	-4259.48640305829	-4252.853427804521	-6.632975253769027	-4252.853427804521	1.72924831327184	1.0	0.3	-5.832546969199729
11	-4144.833050834762	-4141.078337726231	-3.7547131085305026	-4141.078337726231	1.24681724028909	1.0	0.3	-2.9542848239612045
12	-4067.6227877050273	-4062.935979740896	-4.686807964131212	-4062.935979740896	0.8375016328437237	1.0	0.3	-3.886379679561914
13	-4316.0821285140755	-4314.988802996631	-1.0933255174440966	-4314.988802996631	0.2977381210837944	1.0	0.3	-0.29289723287479874
14	-4473.956404502592	-4473.352268407548	-0.6041360950438556	-4473.352268407548	0.5244087855357579	1.0	0.3	0.19629218952544236
15	-4103.750560919112	-4100.959737392488	-2.790823526624221	-4100.959737392488	0.7693524312665176	1.0	0.3	-1.990395242054923
16	-4498.898297505628	-4498.511115296633	-0.38718220899466016	-4498.511115296633	0.19952443368614647	1.0	0.3	0.4132460755746378
17	-7526.329898230358	-7525.248286486478	-1.0816117438797037	-7525.248286486478	0.8042398681882398	1.0	0.3	-0.2811834593104059
18	-4057.5932872630347	-4052.4646291596446	-5.128658103390074	-4052.4646291596446	0.9148672920126618	1.0	0.3	-4.328229818820776
19	-4019.330136781522	-4010.4466436641787	-8.883493117343097	-4010.4466436641787	1.6605107108010606	1.0	0.3	-8.083064832773799
20	-4648.3687389093	-4642.624398477026	-5.744340432274049	-4642.624398477026	1.9498601472505568	1.0	0.3	-4.943912147704751
21	-4128.529189281892	-4123.326008951502	-5.203180330390143	-4123.326008951502	0.804487543032804	1.0	0.3	-4.402752045820845
22	-4159.376297432624	-4155.256104828112	-4.120192604511283	-4155.256104828112	0.7019387161055057	1.0	0.3	-3.319764319941985
23	-4181.99151858183	-4177.549786991831	-4.441731589999202	-4177.549786991831	0.9046184739761565	1.0	0.3	-3.641303305429904
24	-4545.364230183849	-4543.167020061965	-2.19721012188423	-4543.167020061965	0.84772389935259	1.0	0.3	-1.3967818373149317
